,Indicator,Country,Date,value,Year,Month
3293,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-12-03,1327.0,2014,12
3294,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-12-03,3145.0,2014,12
3295,Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-12-03,1374.0,2014,12
3296,Cumulative number of probable Ebola deaths,Sierra Leone,2014-12-03,174.0,2014,12
3297,Cumulative number of suspected Ebola deaths,Sierra Leone,2014-12-03,35.0,2014,12
3298,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-12-03,1583.0,2014,12
3299,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-12-03,6.0,2014,12
3300,Cumulative number of confirmed Ebola deaths,United States of America,2014-12-03,1.0,2014,12
3301,Cumulative number of probable Ebola deaths,United States of America,2014-12-03,0.0,2014,12
3302,Cumulative number of suspected Ebola deaths,United States of America,2014-12-03,0.0,2014,12
3303,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-12-03,1.0,2014,12
3304,Cumulative number of confirmed Ebola deaths,Nigeria,2014-12-03,7.0,2014,12
3305,Cumulative number of probable Ebola deaths,Nigeria,2014-12-03,1.0,2014,12
3306,Cumulative number of suspected Ebola deaths,Nigeria,2014-12-03,0.0,2014,12
3307,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-12-03,8.0,2014,12
3308,Cumulative number of confirmed Ebola deaths,Senegal,2014-12-03,0.0,2014,12
3309,Cumulative number of probable Ebola deaths,Senegal,2014-12-03,0.0,2014,12
3310,Cumulative number of suspected Ebola deaths,Senegal,2014-12-03,0.0,2014,12
3311,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-12-03,0.0,2014,12
3312,Cumulative number of confirmed Ebola deaths,Spain,2014-12-03,0.0,2014,12
3313,Cumulative number of probable Ebola deaths,Spain,2014-12-03,0.0,2014,12
3314,Cumulative number of suspected Ebola deaths,Spain,2014-12-03,0.0,2014,12
3315,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-12-03,0.0,2014,12
3316,Cumulative number of confirmed Ebola cases,Guinea,2014-12-01,1921.0,2014,12
3317,Cumulative number of probable Ebola cases,Guinea,2014-12-01,210.0,2014,12
3318,Cumulative number of suspected Ebola cases,Guinea,2014-12-01,24.0,2014,12
3319,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-12-01,2155.0,2014,12
3320,Cumulative number of confirmed Ebola cases,Liberia,2014-12-01,2801.0,2014,12
3321,Cumulative number of probable Ebola cases,Liberia,2014-12-01,1792.0,2014,12
3322,Cumulative number of suspected Ebola cases,Liberia,2014-12-01,3042.0,2014,12
3323,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-12-01,7635.0,2014,12
3324,Cumulative number of confirmed Ebola cases,Sierra Leone,2014-12-01,5831.0,2014,12
3325,Cumulative number of probable Ebola cases,Sierra Leone,2014-12-01,79.0,2014,12
3326,Cumulative number of suspected Ebola cases,Sierra Leone,2014-12-01,1199.0,2014,12
3327,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-12-01,7109.0,2014,12
3328,Cumulative number of confirmed Ebola cases,Mali,2014-12-01,7.0,2014,12
3329,Cumulative number of probable Ebola cases,Mali,2014-12-01,1.0,2014,12
3330,Cumulative number of suspected Ebola cases,Mali,2014-12-01,0.0,2014,12
3331,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-01,8.0,2014,12
3332,Cumulative number of confirmed Ebola cases,Spain,2014-12-01,1.0,2014,12
3333,Cumulative number of probable Ebola cases,Spain,2014-12-01,0.0,2014,12
3334,Cumulative number of suspected Ebola cases,Spain,2014-12-01,0.0,2014,12
3335,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-12-01,1.0,2014,12
3336,Cumulative number of confirmed Ebola cases,United States of America,2014-12-01,4.0,2014,12
3337,Cumulative number of probable Ebola cases,United States of America,2014-12-01,0.0,2014,12
3338,Cumulative number of suspected Ebola cases,United States of America,2014-12-01,0.0,2014,12
3339,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-12-01,4.0,2014,12
3340,Cumulative number of confirmed Ebola cases,Nigeria,2014-12-01,19.0,2014,12
3341,Cumulative number of probable Ebola cases,Nigeria,2014-12-01,1.0,2014,12
3342,Cumulative number of suspected Ebola cases,Nigeria,2014-12-01,0.0,2014,12
3343,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-12-01,20.0,2014,12
3344,Cumulative number of confirmed Ebola cases,Senegal,2014-12-01,1.0,2014,12
3345,Cumulative number of probable Ebola cases,Senegal,2014-12-01,0.0,2014,12
3346,Cumulative number of suspected Ebola cases,Senegal,2014-12-01,0.0,2014,12
3347,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-01,1.0,2014,12
3348,Cumulative number of confirmed Ebola deaths,Guinea,2014-12-01,1102.0,2014,12
3349,Cumulative number of probable Ebola deaths,Guinea,2014-12-01,210.0,2014,12
3350,Cumulative number of suspected Ebola deaths,Guinea,2014-12-01,0.0,2014,12
3351,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-12-01,1312.0,2014,12
3352,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-12-01,3145.0,2014,12
3353,Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-12-01,1321.0,2014,12
3354,Cumulative number of probable Ebola deaths,Sierra Leone,2014-12-01,174.0,2014,12
3355,Cumulative number of suspected Ebola deaths,Sierra Leone,2014-12-01,35.0,2014,12
3356,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-12-01,1530.0,2014,12
3357,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-12-01,6.0,2014,12
3358,Cumulative number of confirmed Ebola deaths,Spain,2014-12-01,0.0,2014,12
3359,Cumulative number of probable Ebola deaths,Spain,2014-12-01,0.0,2014,12
3360,Cumulative number of suspected Ebola deaths,Spain,2014-12-01,0.0,2014,12
3361,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-12-01,0.0,2014,12
3362,Cumulative number of confirmed Ebola deaths,United States of America,2014-12-01,1.0,2014,12
3363,Cumulative number of probable Ebola deaths,United States of America,2014-12-01,0.0,2014,12
3364,Cumulative number of suspected Ebola deaths,United States of America,2014-12-01,0.0,2014,12
3365,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-12-01,1.0,2014,12
3366,Cumulative number of confirmed Ebola deaths,Nigeria,2014-12-01,7.0,2014,12
3367,Cumulative number of probable Ebola deaths,Nigeria,2014-12-01,1.0,2014,12
3368,Cumulative number of suspected Ebola deaths,Nigeria,2014-12-01,0.0,2014,12
3369,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-12-01,8.0,2014,12
3370,Cumulative number of confirmed Ebola deaths,Senegal,2014-12-01,0.0,2014,12
3371,Cumulative number of probable Ebola deaths,Senegal,2014-12-01,0.0,2014,12
3372,Cumulative number of suspected Ebola deaths,Senegal,2014-12-01,0.0,2014,12
3373,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-12-01,0.0,2014,12
3374,Cumulative number of confirmed Ebola cases,Guinea,2014-11-26,1850.0,2014,11
3375,Cumulative number of probable Ebola cases,Guinea,2014-11-26,210.0,2014,11
3376,Cumulative number of suspected Ebola cases,Guinea,2014-11-26,74.0,2014,11
3377,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-11-26,2134.0,2014,11
3378,Cumulative number of confirmed Ebola cases,Liberia,2014-11-26,2727.0,2014,11
3379,Cumulative number of probable Ebola cases,Liberia,2014-11-26,1754.0,2014,11
3380,Cumulative number of suspected Ebola cases,Liberia,2014-11-26,2687.0,2014,11
3381,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-11-26,7168.0,2014,11
3382,Cumulative number of confirmed Ebola cases,Sierra Leone,2014-11-26,5441.0,2014,11
3383,Cumulative number of probable Ebola cases,Sierra Leone,2014-11-26,79.0,2014,11
3384,Cumulative number of suspected Ebola cases,Sierra Leone,2014-11-26,1079.0,2014,11
3385,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-11-26,6599.0,2014,11
3386,Cumulative number of confirmed Ebola cases,Mali,2014-11-26,7.0,2014,11
3387,Cumulative number of probable Ebola cases,Mali,2014-11-26,1.0,2014,11
3388,Cumulative number of suspected Ebola cases,Mali,2014-11-26,0.0,2014,11
3389,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-26,8.0,2014,11
3390,Cumulative number of confirmed Ebola cases,Spain,2014-11-26,1.0,2014,11
3391,Cumulative number of probable Ebola cases,Spain,2014-11-26,0.0,2014,11
3392,Cumulative number of suspected Ebola cases,Spain,2014-11-26,0.0,2014,11
3393,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-11-26,1.0,2014,11
3394,Cumulative number of confirmed Ebola cases,United States of America,2014-11-26,4.0,2014,11
3395,Cumulative number of probable Ebola cases,United States of America,2014-11-26,0.0,2014,11
3396,Cumulative number of suspected Ebola cases,United States of America,2014-11-26,0.0,2014,11
3397,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-11-26,4.0,2014,11
3398,Cumulative number of confirmed Ebola cases,Nigeria,2014-11-26,19.0,2014,11
3399,Cumulative number of probable Ebola cases,Nigeria,2014-11-26,1.0,2014,11
3400,Cumulative number of suspected Ebola cases,Nigeria,2014-11-26,0.0,2014,11
3401,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-11-26,20.0,2014,11
3402,Cumulative number of confirmed Ebola cases,Senegal,2014-11-26,1.0,2014,11
3403,Cumulative number of probable Ebola cases,Senegal,2014-11-26,0.0,2014,11
3404,Cumulative number of suspected Ebola cases,Senegal,2014-11-26,0.0,2014,11
3405,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-26,1.0,2014,11
3406,Number of confirmed Ebola cases in the last 21 days,Guinea,2014-11-26,374.0,2014,11
3407,"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-11-26,374.0,2014,11
3408,Number of confirmed Ebola cases in the last 21 days,Liberia,2014-11-26,319.0,2014,11
3409,"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-11-26,319.0,2014,11
3410,Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2014-11-26,1339.0,2014,11
3411,"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2014-11-26,1339.0,2014,11
3412,Cumulative number of confirmed Ebola deaths,Guinea,2014-11-26,1050.0,2014,11
3413,Cumulative number of probable Ebola deaths,Guinea,2014-11-26,210.0,2014,11
3414,Cumulative number of suspected Ebola deaths,Guinea,2014-11-26,0.0,2014,11
3415,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-11-26,1260.0,2014,11
3416,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-11-26,3016.0,2014,11
3417,Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-11-26,1189.0,2014,11
3418,Cumulative number of probable Ebola deaths,Sierra Leone,2014-11-26,174.0,2014,11
3419,Cumulative number of suspected Ebola deaths,Sierra Leone,2014-11-26,35.0,2014,11
3420,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-11-26,1398.0,2014,11
3421,Cumulative number of confirmed Ebola deaths,Mali,2014-11-26,5.0,2014,11
3422,Cumulative number of probable Ebola deaths,Mali,2014-11-26,1.0,2014,11
3423,Cumulative number of suspected Ebola deaths,Mali,2014-11-26,0.0,2014,11
3424,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-11-26,6.0,2014,11
3425,Cumulative number of confirmed Ebola deaths,Spain,2014-11-26,0.0,2014,11
3426,Cumulative number of probable Ebola deaths,Spain,2014-11-26,0.0,2014,11
3427,Cumulative number of suspected Ebola deaths,Spain,2014-11-26,0.0,2014,11
3428,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-11-26,0.0,2014,11
3429,Cumulative number of confirmed Ebola deaths,United States of America,2014-11-26,1.0,2014,11
3430,Cumulative number of probable Ebola deaths,United States of America,2014-11-26,0.0,2014,11
3431,Cumulative number of suspected Ebola deaths,United States of America,2014-11-26,0.0,2014,11
3432,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-11-26,1.0,2014,11
3433,Cumulative number of confirmed Ebola deaths,Nigeria,2014-11-26,7.0,2014,11
3434,Cumulative number of probable Ebola deaths,Nigeria,2014-11-26,1.0,2014,11
3435,Cumulative number of suspected Ebola deaths,Nigeria,2014-11-26,0.0,2014,11
3436,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-11-26,8.0,2014,11
3437,Cumulative number of confirmed Ebola deaths,Senegal,2014-11-26,0.0,2014,11
3438,Cumulative number of probable Ebola deaths,Senegal,2014-11-26,0.0,2014,11
3439,Cumulative number of suspected Ebola deaths,Senegal,2014-11-26,0.0,2014,11
3440,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-11-26,0.0,2014,11
3441,Cumulative number of confirmed Ebola cases,Guinea,2014-11-21,1745.0,2014,11
3442,Cumulative number of probable Ebola cases,Guinea,2014-11-21,216.0,2014,11
3443,Cumulative number of suspected Ebola cases,Guinea,2014-11-21,86.0,2014,11
3444,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-11-21,2047.0,2014,11
3445,Cumulative number of confirmed Ebola cases,Liberia,2014-11-21,2669.0,2014,11
3446,Cumulative number of probable Ebola cases,Liberia,2014-11-21,1750.0,2014,11
3447,Cumulative number of suspected Ebola cases,Liberia,2014-11-21,2663.0,2014,11
3448,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-11-21,7082.0,2014,11
3449,Cumulative number of confirmed Ebola cases,Sierra Leone,2014-11-21,5152.0,2014,11
3450,Cumulative number of probable Ebola cases,Sierra Leone,2014-11-21,79.0,2014,11
3451,Cumulative number of suspected Ebola cases,Sierra Leone,2014-11-21,959.0,2014,11
3452,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-11-21,6190.0,2014,11
3453,Cumulative number of confirmed Ebola cases,Mali,2014-11-21,5.0,2014,11
3454,Cumulative number of probable Ebola cases,Mali,2014-11-21,1.0,2014,11
3455,Cumulative number of suspected Ebola cases,Mali,2014-11-21,0.0,2014,11
3456,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-21,6.0,2014,11
3457,Cumulative number of confirmed Ebola cases,Spain,2014-11-21,1.0,2014,11
3458,Cumulative number of probable Ebola cases,Spain,2014-11-21,0.0,2014,11
3459,Cumulative number of suspected Ebola cases,Spain,2014-11-21,0.0,2014,11
3460,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-11-21,1.0,2014,11
3461,Cumulative number of confirmed Ebola cases,United States of America,2014-11-21,4.0,2014,11
3462,Cumulative number of probable Ebola cases,United States of America,2014-11-21,0.0,2014,11
3463,Cumulative number of suspected Ebola cases,United States of America,2014-11-21,0.0,2014,11
3464,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-11-21,4.0,2014,11
3465,Cumulative number of confirmed Ebola cases,Nigeria,2014-11-21,19.0,2014,11
3466,Cumulative number of probable Ebola cases,Nigeria,2014-11-21,1.0,2014,11
3467,Cumulative number of suspected Ebola cases,Nigeria,2014-11-21,0.0,2014,11
3468,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-11-21,20.0,2014,11
3469,Cumulative number of confirmed Ebola cases,Senegal,2014-11-21,1.0,2014,11
3470,Cumulative number of probable Ebola cases,Senegal,2014-11-21,0.0,2014,11
3471,Cumulative number of suspected Ebola cases,Senegal,2014-11-21,0.0,2014,11
3472,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-21,1.0,2014,11
3473,Cumulative number of confirmed Ebola deaths,Guinea,2014-11-21,998.0,2014,11
3474,Cumulative number of probable Ebola deaths,Guinea,2014-11-21,216.0,2014,11
3475,Cumulative number of suspected Ebola deaths,Guinea,2014-11-21,0.0,2014,11
3476,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-11-21,1214.0,2014,11
3477,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-11-21,2963.0,2014,11
3478,Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-11-21,1058.0,2014,11
3479,Cumulative number of probable Ebola deaths,Sierra Leone,2014-11-21,174.0,2014,11
3480,Cumulative number of suspected Ebola deaths,Sierra Leone,2014-11-21,35.0,2014,11
3481,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-11-21,1267.0,2014,11
3482,Cumulative number of confirmed Ebola deaths,Mali,2014-11-21,5.0,2014,11
3483,Cumulative number of probable Ebola deaths,Mali,2014-11-21,1.0,2014,11
3484,Cumulative number of suspected Ebola deaths,Mali,2014-11-21,0.0,2014,11
3485,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-11-21,6.0,2014,11
3486,Cumulative number of confirmed Ebola deaths,Spain,2014-11-21,0.0,2014,11
3487,Cumulative number of probable Ebola deaths,Spain,2014-11-21,0.0,2014,11
3488,Cumulative number of suspected Ebola deaths,Spain,2014-11-21,0.0,2014,11
3489,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-11-21,0.0,2014,11
3490,Cumulative number of confirmed Ebola deaths,United States of America,2014-11-21,1.0,2014,11
3491,Cumulative number of probable Ebola deaths,United States of America,2014-11-21,0.0,2014,11
3492,Cumulative number of suspected Ebola deaths,United States of America,2014-11-21,0.0,2014,11
3493,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-11-21,1.0,2014,11
3494,Cumulative number of confirmed Ebola deaths,Nigeria,2014-11-21,7.0,2014,11
3495,Cumulative number of probable Ebola deaths,Nigeria,2014-11-21,1.0,2014,11
3496,Cumulative number of suspected Ebola deaths,Nigeria,2014-11-21,0.0,2014,11
3497,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-11-21,8.0,2014,11
3498,Cumulative number of confirmed Ebola deaths,Senegal,2014-11-21,0.0,2014,11
3499,Cumulative number of probable Ebola deaths,Senegal,2014-11-21,0.0,2014,11
3500,Cumulative number of suspected Ebola deaths,Senegal,2014-11-21,0.0,2014,11
3501,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-11-21,0.0,2014,11
3502,Cumulative number of confirmed Ebola cases,Guinea,2014-11-19,1698.0,2014,11
3503,Cumulative number of probable Ebola cases,Guinea,2014-11-19,210.0,2014,11
3504,Cumulative number of suspected Ebola cases,Guinea,2014-11-19,63.0,2014,11
3505,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-11-19,1971.0,2014,11
3506,Cumulative number of confirmed Ebola cases,Liberia,2014-11-19,2643.0,2014,11
3507,Cumulative number of probable Ebola cases,Liberia,2014-11-19,1762.0,2014,11
3508,Cumulative number of suspected Ebola cases,Liberia,2014-11-19,2664.0,2014,11
3509,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-11-19,7069.0,2014,11
3510,Cumulative number of confirmed Ebola cases,Sierra Leone,2014-11-19,5056.0,2014,11
3511,Cumulative number of probable Ebola cases,Sierra Leone,2014-11-19,79.0,2014,11
3512,Cumulative number of suspected Ebola cases,Sierra Leone,2014-11-19,938.0,2014,11
3513,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-11-19,6073.0,2014,11
3514,Cumulative number of confirmed Ebola cases,Mali,2014-11-19,5.0,2014,11
3515,Cumulative number of probable Ebola cases,Mali,2014-11-19,1.0,2014,11
3516,Cumulative number of suspected Ebola cases,Mali,2014-11-19,0.0,2014,11
3517,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-19,6.0,2014,11
3518,Cumulative number of confirmed Ebola cases,Spain,2014-11-19,1.0,2014,11
3519,Cumulative number of probable Ebola cases,Spain,2014-11-19,0.0,2014,11
3520,Cumulative number of suspected Ebola cases,Spain,2014-11-19,0.0,2014,11
3521,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-11-19,1.0,2014,11
3522,Cumulative number of confirmed Ebola cases,United States of America,2014-11-19,4.0,2014,11
3523,Cumulative number of probable Ebola cases,United States of America,2014-11-19,0.0,2014,11
3524,Cumulative number of suspected Ebola cases,United States of America,2014-11-19,0.0,2014,11
3525,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-11-19,4.0,2014,11
3526,Cumulative number of confirmed Ebola cases,Nigeria,2014-11-19,19.0,2014,11
3527,Cumulative number of probable Ebola cases,Nigeria,2014-11-19,1.0,2014,11
3528,Cumulative number of suspected Ebola cases,Nigeria,2014-11-19,0.0,2014,11
3529,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-11-19,20.0,2014,11
3530,Cumulative number of confirmed Ebola cases,Senegal,2014-11-19,1.0,2014,11
3531,Cumulative number of probable Ebola cases,Senegal,2014-11-19,0.0,2014,11
3532,Cumulative number of suspected Ebola cases,Senegal,2014-11-19,0.0,2014,11
3533,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-19,1.0,2014,11
3534,Number of confirmed Ebola cases in the last 21 days,Guinea,2014-11-19,308.0,2014,11
3535,Number of probable Ebola cases in the last 21 days,Guinea,2014-11-19,7.0,2014,11
3536,"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-11-19,315.0,2014,11
3537,Number of confirmed Ebola cases in the last 21 days,Liberia,2014-11-19,340.0,2014,11
3538,Number of probable Ebola cases in the last 21 days,Liberia,2014-11-19,192.0,2014,11
3539,"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-11-19,532.0,2014,11
3540,Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2014-11-19,1389.0,2014,11
3541,Number of probable Ebola cases in the last 21 days,Sierra Leone,2014-11-19,5.0,2014,11
3542,"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2014-11-19,1394.0,2014,11
3543,Cumulative number of confirmed Ebola deaths,Guinea,2014-11-19,982.0,2014,11
3544,Cumulative number of probable Ebola deaths,Guinea,2014-11-19,210.0,2014,11
3545,Cumulative number of suspected Ebola deaths,Guinea,2014-11-19,0.0,2014,11
3546,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-11-19,1192.0,2014,11
3547,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-11-19,2964.0,2014,11
3548,Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-11-19,1041.0,2014,11
3549,Cumulative number of probable Ebola deaths,Sierra Leone,2014-11-19,174.0,2014,11
3550,Cumulative number of suspected Ebola deaths,Sierra Leone,2014-11-19,35.0,2014,11
3551,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-11-19,1250.0,2014,11
3552,Cumulative number of confirmed Ebola deaths,Mali,2014-11-19,4.0,2014,11
3553,Cumulative number of probable Ebola deaths,Mali,2014-11-19,1.0,2014,11
3554,Cumulative number of suspected Ebola deaths,Mali,2014-11-19,0.0,2014,11
3555,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-11-19,5.0,2014,11
3556,Cumulative number of confirmed Ebola deaths,Spain,2014-11-19,0.0,2014,11
3557,Cumulative number of probable Ebola deaths,Spain,2014-11-19,0.0,2014,11
3558,Cumulative number of suspected Ebola deaths,Spain,2014-11-19,0.0,2014,11
3559,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-11-19,0.0,2014,11
3560,Cumulative number of confirmed Ebola deaths,United States of America,2014-11-19,1.0,2014,11
3561,Cumulative number of probable Ebola deaths,United States of America,2014-11-19,0.0,2014,11
3562,Cumulative number of suspected Ebola deaths,United States of America,2014-11-19,0.0,2014,11
3563,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-11-19,1.0,2014,11
3564,Cumulative number of confirmed Ebola deaths,Nigeria,2014-11-19,7.0,2014,11
3565,Cumulative number of probable Ebola deaths,Nigeria,2014-11-19,1.0,2014,11
3566,Cumulative number of suspected Ebola deaths,Nigeria,2014-11-19,0.0,2014,11
3567,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-11-19,8.0,2014,11
3568,Cumulative number of confirmed Ebola deaths,Senegal,2014-11-19,0.0,2014,11
3569,Cumulative number of probable Ebola deaths,Senegal,2014-11-19,0.0,2014,11
3570,Cumulative number of suspected Ebola deaths,Senegal,2014-11-19,0.0,2014,11
3571,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-11-19,0.0,2014,11
3572,Cumulative number of confirmed Ebola cases,Guinea,2014-11-14,1647.0,2014,11
3573,Cumulative number of probable Ebola cases,Guinea,2014-11-14,208.0,2014,11
3574,Cumulative number of suspected Ebola cases,Guinea,2014-11-14,64.0,2014,11
3575,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-11-14,1919.0,2014,11
3576,Cumulative number of confirmed Ebola cases,Liberia,2014-11-14,2562.0,2014,11
3577,Cumulative number of probable Ebola cases,Liberia,2014-11-14,1716.0,2014,11
3578,Cumulative number of suspected Ebola cases,Liberia,2014-11-14,2600.0,2014,11
3579,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-11-14,6878.0,2014,11
3580,Cumulative number of confirmed Ebola cases,Sierra Leone,2014-11-14,4683.0,2014,11
3581,Cumulative number of probable Ebola cases,Sierra Leone,2014-11-14,79.0,2014,11
3582,Cumulative number of suspected Ebola cases,Sierra Leone,2014-11-14,824.0,2014,11
3583,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-11-14,5586.0,2014,11
3584,Cumulative number of confirmed Ebola cases,Mali,2014-11-14,3.0,2014,11
3585,Cumulative number of probable Ebola cases,Mali,2014-11-14,1.0,2014,11
3586,Cumulative number of suspected Ebola cases,Mali,2014-11-14,0.0,2014,11
3587,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-14,4.0,2014,11
3588,Cumulative number of confirmed Ebola cases,Spain,2014-11-14,1.0,2014,11
3589,Cumulative number of probable Ebola cases,Spain,2014-11-14,0.0,2014,11
3590,Cumulative number of suspected Ebola cases,Spain,2014-11-14,0.0,2014,11
3591,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-11-14,1.0,2014,11
3592,Cumulative number of confirmed Ebola cases,United States of America,2014-11-14,4.0,2014,11
3593,Cumulative number of probable Ebola cases,United States of America,2014-11-14,0.0,2014,11
3594,Cumulative number of suspected Ebola cases,United States of America,2014-11-14,0.0,2014,11
3595,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-11-14,4.0,2014,11
3596,Cumulative number of confirmed Ebola cases,Nigeria,2014-11-14,19.0,2014,11
3597,Cumulative number of probable Ebola cases,Nigeria,2014-11-14,1.0,2014,11
3598,Cumulative number of suspected Ebola cases,Nigeria,2014-11-14,0.0,2014,11
3599,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-11-14,20.0,2014,11
3600,Cumulative number of confirmed Ebola cases,Senegal,2014-11-14,1.0,2014,11
3601,Cumulative number of probable Ebola cases,Senegal,2014-11-14,0.0,2014,11
3602,Cumulative number of suspected Ebola cases,Senegal,2014-11-14,0.0,2014,11
3603,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-14,1.0,2014,11
3604,Cumulative number of confirmed Ebola deaths,Guinea,2014-11-14,958.0,2014,11
3605,Cumulative number of probable Ebola deaths,Guinea,2014-11-14,208.0,2014,11
